KEY,IR,GDP,UR,CPI,NFP,NHS,CU,CCI,NAPM,UNL,RS
196001,4,543.347,5.2,29.37,54274,650,80.3,100,61.5,22.968,11
196002,4,543.1303333333,4.8,29.41,54513,650,80.3,100,52.3,23.0843333333,10
196003,4,542.9136666667,5.4,29.41,54458,650,80.3,100,47.8,23.2006666667,10
196004,4,542.697,5.2,29.54,54812,650,80.3,100,45.3,23.317,11
196005,4,543.802,5.1,29.57,54473,650,80.3,100,42.6,23.291,10
196006,3.65,544.907,5.4,29.61,54347,650,80.3,100,44.4,23.265,10
196007,3.5,546.012,5.5,29.55,54304,650,80.3,100,43.7,23.239,11
196008,3.18,544.3623333333,5.6,29.61,54271,650,80.3,100,47.6,23.3683333333,10
196009,3,542.7126666667,5.5,29.61,54228,650,80.3,100,45.4,23.4976666667,16
196010,3,541.063,6.1,29.75,54144,650,80.3,100,46,23.627,10
196011,3,542.6916666667,6.1,29.78,53962,650,80.3,100,44.3,23.6123333333,10
196012,3,544.3203333333,6.6,29.81,53744,650,80.3,100,44.3,23.5976666667,9
196101,3,545.949,6.6,29.84,53683,650,80.3,100,43.9,23.583,10
196102,3,549.776,6.9,29.84,53556,650,80.3,100,43.6,23.4896666667,10
196103,3,553.603,6.9,29.84,53662,650,80.3,100,49.1,23.3963333333,10
196104,3,557.43,7,29.81,53626,650,80.3,100,57.6,23.303,10
196105,3,561.0293333333,7.1,29.84,53785,650,80.3,100,58.9,23.2753333333,10
196106,3,564.6286666667,6.9,29.84,53977,650,80.3,100,58.1,23.2476666667,9
196107,3,568.228,7,29.92,54123,650,80.3,100,58.2,23.22,10
196108,3,572.6933333333,6.6,29.94,54298,650,80.3,100,60.7,23.2273333333,10
196109,3,577.1586666667,6.7,29.98,54388,650,80.3,100,63,23.2346666667,11
196110,3,581.624,6.5,29.98,54522,650,80.3,100,62.2,23.242,10
196111,3,586.1413333333,6.1,29.98,54743,650,80.3,100,59,23.243,9
196112,3,590.6586666667,6,30.01,54871,650,80.3,100,64.2,23.244,11
196201,3,595.176,5.8,30.04,54891,650,80.3,100,60.9,23.245,10
196202,3,597.644,5.5,30.11,55187,650,80.3,100,61.1,23.294,9
196203,3,600.112,5.6,30.17,55276,650,80.3,100,60.6,23.343,9
196204,3,602.58,5.6,30.21,55602,650,80.3,100,55.1,23.392,10
196205,3,604.9116666667,5.5,30.24,55627,650,80.3,100,52.2,23.3413333333,10
196206,3,607.2433333333,5.5,30.21,55644,650,80.3,100,50.8,23.2906666667,12
196207,3,609.575,5.4,30.22,55746,650,80.3,100,51,23.24,10
196208,3,610.7606666667,5.7,30.28,55838,650,80.3,100,49.5,23.2573333333,10
196209,3,611.9463333333,5.6,30.42,55977,650,80.3,100,50,23.2746666667,10
196210,3,613.132,5.4,30.38,56041,650,80.3,100,51.2,23.292,10
196211,3,616.3143333333,5.7,30.38,56056,650,80.3,100,53.8,23.3,9
196212,3,619.4966666667,5.5,30.38,56028,650,80.3,100,57.2,23.308,10
196301,3,622.679,5.7,30.44,56116,591,80.3,100,55.2,23.316,10
196302,3,625.731,5.9,30.48,56230,464,80.3,100,55.1,23.2933333333,11
196303,3,628.783,5.7,30.51,56322,461,80.3,100,54.7,23.2706666667,11
196304,3,631.835,5.7,30.48,56580,605,80.3,100,57.6,23.248,10
196305,3,636.21,5.9,30.51,56616,586,80.3,100,59.8,23.1926666667,10
196306,3,640.585,5.6,30.61,56658,526,80.3,100,58.2,23.1373333333,10
196307,3.24,644.96,5.6,30.69,56794,665,80.3,100,55.5,23.082,10
196308,3.5,648.2533333333,5.4,30.75,56910,570,80.3,100,55.1,23.1446666667,9
196309,3.5,651.5466666667,5.5,30.72,57077,590,80.3,100,56.9,23.2073333333,10
196310,3.5,654.84,5.5,30.75,57284,567,80.3,100,57.7,23.27,11
196311,3.5,660.2763333333,5.7,30.78,57255,579,80.3,100,57.5,23.2226666667,8
196312,3.5,665.7126666667,5.5,30.88,57360,514,80.3,100,54,23.1753333333,10
196401,3.5,671.149,5.6,30.94,57487,549,80.3,100,57.1,23.128,10
196402,3.5,674.3516666667,5.4,30.91,57751,609,80.3,100,57.9,23.1656666667,10
196403,3.5,677.5543333333,5.4,30.94,57898,562,80.3,100,60.2,23.2033333333,10
196404,3.5,680.757,5.3,30.95,57922,559,80.3,100,59.2,23.241,10
196405,3.5,684.7736666667,5.1,30.98,58089,523,80.3,100,58.7,23.2666666667,11
196406,3.5,688.7903333333,5.2,31.01,58221,580,80.3,100,60.1,23.2923333333,10
196407,3.5,692.807,4.9,31.02,58413,575,80.3,100,62.9,23.318,10
196408,3.5,694.6793333333,5,31.05,58619,582,80.3,100,63.3,23.4223333333,10
196409,3.5,696.5516666667,5.1,31.08,58903,590,80.3,100,63.3,23.5266666667,10
196410,3.5,698.424,5.1,31.12,58794,583,80.3,100,60.7,23.631,9
196411,3.62,705.3653333333,4.8,31.21,59217,548,80.3,100,61.8,23.5623333333,10
196412,4,712.3066666667,5,31.25,59421,540,80.3,100,62.4,23.4936666667,10
196501,4,719.248,4.9,31.28,59583,533,80.3,100,61,23.425,8
196502,4,723.6216666667,5.1,31.28,59800,559,80.3,100,62.1,23.457,15
196503,4,727.9953333333,4.7,31.31,60003,556,80.3,100,64.9,23.489,10
196504,4,732.369,4.8,31.38,60259,555,80.3,100,62,23.521,9
196505,4,738.3073333333,4.6,31.48,60492,544,80.3,100,61.3,23.4373333333,10
196506,4,744.2456666667,4.6,31.61,60690,614,80.3,100,58.7,23.3536666667,10
196507,4,750.184,4.4,31.58,60963,554,80.3,100,58.1,23.27,9
196508,4,757.824,4.4,31.55,61228,615,80.3,100,58.1,23.2436666667,10
196509,4,765.464,4.3,31.62,61490,587,80.3,100,61,23.2173333333,10
196510,4,773.104,4.2,31.65,61718,555,80.3,100,58.6,23.191,11
196511,4,781.1786666667,4.1,31.75,61997,616,80.3,100,59.4,23.2326666667,10
196512,4.42,789.2533333333,4,31.85,62321,609,80.3,100,62.8,23.2743333333,10
196601,4.5,797.328,4,31.88,62528,599,80.3,100,65.8,23.316,10
196602,4.5,800.603,3.8,32.08,62796,541,80.3,100,65.5,23.4953333333,10
196603,4.5,803.878,3.8,32.18,63192,557,80.3,100,65.7,23.6746666667,10
196604,4.5,807.153,3.8,32.28,63436,545,80.3,100,64.2,23.854,11
196605,4.5,811.7013333333,3.9,32.35,63711,499,80.3,100,57.7,23.9686666667,10
196606,4.5,816.2496666667,3.8,32.38,64110,434,80.3,100,59,24.0833333333,10
196607,4.5,820.798,3.8,32.45,64301,435,80.3,100,60.3,24.198,11
196608,4.5,825.4866666667,3.8,32.65,64507,377,80.3,100,58.5,24.2603333333,10
196609,4.5,830.1753333333,3.7,32.75,64644,358,80.3,100,58.7,24.3226666667,9
196610,4.5,834.864,3.7,32.85,64854,387,80.3,100,57.2,24.385,10
196611,4.5,838.5913333333,3.6,32.88,65019,382,80.3,100,53.7,24.38,10
196612,4.5,842.3186666667,3.8,32.92,65200,369,80.3,100,52.4,24.375,9
196701,4.5,846.046,3.9,32.9,65407,416,89.4,100,49.1,24.37,10
196702,4.5,847.7166666667,3.8,33,65428,408,88,100,47.6,24.4466666667,10
196703,4.5,849.3873333333,3.8,33,65530,439,87.1,100,45.3,24.5233333333,10
196704,4.1,851.058,3.8,33.1,65467,479,87.5,100,42.8,24.6,10
196705,4,856.2433333333,3.8,33.1,65619,503,86.4,100,44.5,24.681,10
196706,4,861.4286666667,3.9,33.3,65750,499,86,100,46.8,24.762,9
196707,4,866.614,3.8,33.4,65887,515,85.4,100,49.5,24.843,10
196708,4,872.143,3.8,33.5,66142,504,86.6,100,52.2,24.915,10
196709,4,877.672,3.8,33.6,66164,531,86.1,100,54.9,24.987,11
196710,4,883.201,4,33.7,66225,566,86.4,100,54.1,25.059,11
196711,4.18,892.5123333333,3.9,33.9,66703,500,87.3,100,54.2,25.123,9
196712,4.5,901.8236666667,3.8,34,66900,502,87.8,100,55.6,25.187,11
196801,4.5,911.135,3.7,34.1,66805,494,87.4,100,56.6,25.251,10
196802,4.5,919.5223333333,3.8,34.2,67215,543,87.3,100,55,25.3093333333,9
196803,4.66,927.9096666667,3.7,34.3,67295,490,87.3,100,53.8,25.3676666667,11
196804,5.2,936.297,3.5,34.4,67555,501,87.1,100,58,25.426,10
196805,5.5,941.647,3.5,34.5,67653,441,87.7,100,55.3,25.5753333333,10
196806,5.5,946.997,3.7,34.7,67904,441,87.7,100,53.5,25.7246666667,10
196807,5.5,952.347,3.7,34.9,68125,493,87.2,100,54.1,25.874,10
196808,5.48,958.2743333333,3.5,35,68328,507,87.1,100,52.7,26.0563333333,9
196809,5.25,964.2016666667,3.4,35.1,68487,501,87.1,100,51.8,26.2386666667,10
196810,5.25,970.129,3.4,35.3,68720,502,86.9,100,55.8,26.421,15
196811,5.25,978.559,3.4,35.4,68985,469,87.7,100,58.1,26.4396666667,12
