,date,gdp,ulc,ir,cpi,nhs,cu,rs,napm,nfp,ur,cci
0,1/1/1992,6380.798,80.847,3.5,138.3,676,79.2537,164083,47.3,108374,7.3,93.95661756
1,2/1/1992,6417.965,80.84433333,3.5,138.6,639,79.6575,164260,52.7,108317,7.4,95.76615242
2,3/1/1992,6455.132,80.84166667,3.5,139.1,553,80.1571,163747,54.6,108369,7.4,105.7881916
3,4/1/1992,6492.299,80.839,3.5,139.4,546,80.591,164759,52.6,108526,7.4,107.4585315
4,5/1/1992,6523.715333,80.91266667,3.5,139.7,554,80.679,165617,55.7,108653,7.6,110.2424313
5,6/1/1992,6555.131667,80.98633333,3.5,140.1,596,80.5131,166098,53.6,108718,7.8,111.9127711
6,7/1/1992,6586.548,81.06,3.02,140.5,627,81.058,167305,53.9,108792,7.7,106.6233616
7,8/1/1992,6623.549667,81.11666667,3,140.8,636,80.4887,167797,53.4,108927,7.6,105.9273866
8,9/1/1992,6660.551333,81.17333333,3,141.1,650,80.5085,169407,49.7,108959,7.6,105.2314117
9,10/1/1992,6697.553,81.23,3,141.7,621,80.9545,170681,50.3,109145,7.3,102.0299269
10,11/1/1992,6714.429333,81.23433333,3,142.1,614,81.1504,171025,53.6,109277,7.4,118.7333256
11,12/1/1992,6731.305667,81.23866667,3,142.3,650,81.0779,172995,54.2,109494,7.4,126.66744
12,1/1/1993,6748.182,81.243,3,142.8,596,81.2928,175078,55.8,109804,7.3,124.3011252
13,2/1/1993,6775.319333,81.597,3,143.1,604,81.5213,173770,55.2,110051,7.1,120.5428605
14,3/1/1993,6802.456667,81.951,3,143.3,602,81.2916,172328,53.5,109997,7,119.5684955
15,4/1/1993,6829.594,82.305,3,143.8,701,81.4603,176766,50.2,110304,7.1,119.1509106
16,5/1/1993,6854.47,82.34266667,3,144.2,626,81.0666,178445,51.2,110573,7.1,111.7735762
17,6/1/1993,6879.346,82.38033333,3,144.3,653,81.0941,178201,49.6,110749,7,113.443916
18,7/1/1993,6904.222,82.418,3,144.5,655,81.2308,180759,50.2,111055,6.9,107.1801415
19,8/1/1993,6947.096,82.41966667,3,144.8,645,81.0272,180692,50.7,111210,6.8,107.5977265
20,9/1/1993,6989.97,82.42133333,3,145,726,81.2854,181800,50.8,111455,6.7,108.4328964
21,10/1/1993,7032.844,82.423,3,145.6,704,81.7706,182910,53.4,111741,6.8,115.1142559
22,11/1/1993,7067.315667,82.14533333,3,146,769,81.9645,184746,53.8,111991,6.6,113.0263311
23,12/1/1993,7101.787333,81.86766667,3,146.3,812,82.238,186339,55.6,112314,6.5,122.7699803
24,1/1/1994,7136.259,81.59,3,146.3,619,82.3698,185128,56,112590,6.6,131.2608746
25,2/1/1994,7180.788333,81.79,3,146.7,686,82.2046,188077,56.5,112788,6.6,129.7297297
26,3/1/1994,7225.317667,81.99,3,147.1,747,82.8294,191588,56.9,113249,6.5,127.3634149
27,4/1/1994,7269.847,82.19,3,147.2,692,83.0811,191632,57.4,113596,6.4,128.8945598
28,5/1/1994,7297.316333,82.333,3.24,147.5,691,83.2688,190940,58.2,113929,6.1,129.1729498
29,6/1/1994,7324.785667,82.476,3.5,147.9,621,83.5555,193196,58.8,114248,6.1,126.94583
30,7/1/1994,7352.255,82.619,3.5,148.4,628,83.4296,193763,58.5,114618,6.1,123.8835402
31,8/1/1994,7393.723667,82.53433333,3.76,149,656,83.6645,196157,58,114900,6,127.6418049
32,9/1/1994,7435.192333,82.44966667,4,149.3,677,83.7144,197754,59,115260,5.9,127.3634149
33,10/1/1994,7476.661,82.365,4,149.4,715,84.1504,199579,59.4,115469,5.8,129.0337548
34,11/1/1994,7499.539333,82.61033333,4.4,149.8,646,84.3967,199723,59.2,115876,5.6,127.5026099
35,12/1/1994,7522.417667,82.85566667,4.75,150.1,629,84.9892,200670,56.1,116168,5.5,132.3744345
36,1/1/1995,7545.296,83.101,4.75,150.5,626,84.8572,201583,57.4,116495,5.6,135.8543092
37,2/1/1995,7565.171667,83.193,5.25,150.9,559,84.4491,198383,55.1,116693,5.4,132.3744345
38,3/1/1995,7585.047333,83.285,5.25,151.2,616,84.2726,200230,52.1,116912,5.4,125.693075
39,4/1/1995,7604.923,83.377,5.25,151.8,621,83.9276,201048,51.5,117074,5.8,128.7553648
40,5/1/1995,7638.792333,83.52766667,5.25,152.1,674,83.915,202993,46.7,117057,5.6,124.9971001
41,6/1/1995,7672.661667,83.67833333,5.25,152.4,725,83.8983,205507,45.9,117297,5.6,129.0337548
42,7/1/1995,7706.531,83.829,5.25,152.6,765,83.2584,204959,50.7,117389,5.7,131.4000696
43,8/1/1995,7737.518333,83.86233333,5.25,152.9,701,83.9893,206529,47.1,117641,5.7,133.9055794
44,9/1/1995,7768.505667,83.89566667,5.25,153.1,678,83.9933,206978,48.1,117893,5.6,123.7443452
45,10/1/1995,7799.493,83.929,5.25,153.5,696,83.5482,206157,46.7,118045,5.5,125.5538801
46,11/1/1995,7830.710667,84.05166667,5.25,153.7,664,83.4039,208661,45.9,118191,5.6,122.7699803
47,12/1/1995,7861.928333,84.17433333,5.25,153.9,709,83.3632,210434,46.2,118323,5.6,126.66744
48,1/1/1996,7893.146,84.297,5.24,154.7,714,82.4533,208731,45.5,118310,5.6,124.3011252
49,2/1/1996,7949.275667,84.23666667,5,155,769,83.3618,212011,45.9,118735,5.5,123.1875652
50,3/1/1996,8005.405333,84.17633333,5,155.5,721,82.8953,213855,46.9,119000,5.5,130.4257047
51,4/1/1996,8061.535,84.116,5,156.1,736,83.2719,214644,49.3,119165,5.6,129.0337548
52,5/1/1996,8094.037667,84.26033333,5,156.4,746,83.4885,216304,49.1,119491,5.6,124.4403201
53,6/1/1996,8126.540333,84.40466667,5,156.7,721,83.8002,216059,53.6,119772,5.3,128.6161698
54,7/1/1996,8159.043,84.549,5,157,770,83.3004,216374,49.7,120023,5.5,131.8176546
55,8/1/1996,8201.721333,84.65533333,5,157.2,826,83.3893,216355,51.6,120208,5.1,132.6528245
56,9/1/1996,8244.399667,84.76166667,5,157.7,770,83.568,219240,51.1,120421,5.2,131.8176546
57,10/1/1996,8287.078,84.868,5,158.2,720,83.1251,221039,50.5,120682,5.2,134.3231644
58,11/1/1996,8325.405333,85.187,5,158.7,771,83.4491,220989,53,120977,5.4,138.0814291
59,12/1/1996,8363.732667,85.506,5,159.1,805,83.584,221898,55.2,121148,5.4,134.8799443
60,1/1/1997,8402.06,85.825,5,159.4,830,83.2909,223524,53.8,121379,5.3,135.5759193
61,2/1/1997,8452.02,85.69733333,5,159.7,801,83.8681,225409,53.1,121687,5.2,138.777404
62,3/1/1997,8501.98,85.56966667,5,159.8,831,84.0167,226136,53.8,121999,5.2,139.194989
63,4/1/1997,8551.94,85.442,5,159.9,744,83.6057,224588,53.7,122291,5.1,141.1437188
64,5/1/1997,8598.545333,85.49766667,5,159.9,760,83.6433,222906,56.1,122554,4.9,143.6492286
65,6/1/1997,8645.150667,85.55333333,5,160.2,793,83.5875,226048,54.9,122818,5,145.4587635
66,7/1/1997,8691.756,85.609,5,160.4,805,83.7388,228738,57.7,123121,4.9,149.0778332
67,8/1/1997,8723.944,86.023,5,160.8,815,84.117,229317,56.3,123099,4.8,145.3195685
68,9/1/1997,8756.132,86.437,5,161.2,840,84.3503,230284,53.9,123598,4.9,147.5466883
69,10/1/1997,8788.32,86.851,5,161.5,800,84.5504,229822,56.4,123942,4.7,146.9899084
70,11/1/1997,8822.124,87.177,5,161.7,864,84.7469,230486,55.7,124241,4.6,149.2170282
71,12/1/1997,8855.928,87.503,5,161.8,793,84.4518,231197,54.5,124559,4.7,142.1180837
72,1/1/1998,8889.732,87.829,5,162,872,84.3386,231605,53.8,124831,4.6,148.3818583
73,2/1/1998,8924.734,88.03633333,5,162,866,83.8847,231664,52.9,125029,4.6,153.6712678
74,3/1/1998,8959.736,88.24366667,5,162,836,83.4012,233043,52.9,125174,4.7,148.2426633
75,4/1/1998,8994.738,88.451,5,162.2,866,83.1681,235976,52.2,125454,4.3,151.304953
